llc_name,company,confidence,state,location,project,lat,lng,status,facility_type,incentives_known,incentive_amount,nda_involved,source_type,notes
Design LLC,Google,confirmed,DE/NV,"Henderson, Nevada, USA",Henderson Data Center,36.0397,-114.9817,operating,hyperscale data center,TRUE,50000000,FALSE,news,"Wholly owned Google subsidiary; owns/builds facility while Google operates it"
Design LLC,Google,confirmed,DE/NV,"Sparks, Nevada, USA",Tahoe Reno Industrial Center Data Center,39.5349,-119.7527,operating,hyperscale data center,TRUE,50000000,FALSE,news,Storey County facility under same Design LLC entity
Design LLC,Google,confirmed,DE/NV,"The Dalles, Oregon, USA",The Dalles Data Center Expansion,45.5946,-121.1787,under_construction,hyperscale data center,TRUE,0,FALSE,news,Expansion of existing Google The Dalles campus
Groot LLC,Google,confirmed,DE,"West Memphis, Arkansas, USA",West Memphis Data Center Campus (Project Pyramid),35.1465,-90.1845,approved,hyperscale data center,TRUE,50000000000,TRUE,news,"$10B PILOT deal; up to $50B in personal property tax abatements"
Spark Innovations LLC,Google,probable,DE,"West Memphis, Arkansas, USA",West Memphis Data Center Proposal (Spark),35.1465,-90.1845,cancelled,hyperscale data center,FALSE,0,TRUE,news,Separate proposed campus; cancelled after community opposition
Spark Innovations LLC,Google,probable,DE,"St. Charles, Missouri, USA",St. Charles Data Center Proposal,38.7881,-90.4974,proposed,hyperscale data center,FALSE,0,TRUE,news,$600M data center proposal under Project Shale umbrella
Montauk Innovations LLC,Google,confirmed,DE/OH,"New Albany, Ohio, USA",New Albany Data Center Campus,40.0809,-82.7913,operating,hyperscale data center,TRUE,63000000,FALSE,sec_filing,"CRA tax incentives; 85 acres acquired for $63M"
Montauk Innovations LLC,Google,confirmed,DE/OH,"New Albany, Ohio, USA",New Albany Expansion Phases,40.0809,-82.7913,under_construction,hyperscale data center,TRUE,63000000,FALSE,sec_filing,Expansion phases of existing New Albany campus
Sharka LLC,Google,confirmed,TX,"Midlothian, Texas, USA",Midlothian Data Center Campus,32.4738,-97.0003,operating,hyperscale data center,TRUE,10000000,FALSE,news,$10M+ over 10-year tax abatement; Ellis County
Agate LLC,Google,confirmed,DE,"Lincoln, Nebraska, USA",Lincoln Data Center Campus,40.8136,-96.7026,under_construction,hyperscale data center,TRUE,0,FALSE,news,$600M campus; 570+ acres of farmland acquired
